,Calculus-based Courses,,,,,Algebra-based Courses,,,
,Pre,,Post,,,Pre,,Post,
,Estimate,S.E.,Estimate,S.E.,,Estimate,S.E.,Estimate,S.E.
Intercept,61.9,4.0,62.6,4.4,,59.6,4.7,60.6,5.2
GenderOther,-5.5,3.0,-4.5,3.6,,-1.3,3.2,1.9,3.4
Hispanic,-3.4,3.7,-7.5,4.1,,-4.0,4.4,-6.0,5.0
White,5.1,3.9,2.0,4.5,,-0.2,4.7,-0.8,5.2
Female,-0.9,2.2,-1.4,2.9,,-2.9,2.2,-1.8,2.6
Black,-0.5,4.1,-6.1,5.0,,-4.8,5.2,-5.1,5.5
Asian,-1.6,4.0,-3.5,4.6,,-2.2,4.7,-5.8,5.3
Race Other,0.0,4.0,-1.6,4.7,,-3.3,4.6,-5.6,5.1
Hispanic * White,0.9,3.7,4.1,4.4,,0.3,4.4,2.1,4.9
Female * Black,-2.7,3.8,-2.9,4.7,,-0.6,3.7,-5.0,4.4
Female * Asian,-3.2,2.7,-1.6,3.4,,-0.9,2.8,0.1,3.1
Female * Hispanic,-1.4,2.1,0.4,2.7,,1.3,2.1,2.8,2.4
Female * White,-2.2,2.3,-2.3,2.9,,-0.2,2.2,-3.1,2.7